Country,Year,pest_tonnes,N2O_kilotonnes,ave_rain($mm$),ave_temp($^\circ C$),Item,hg/ha_yield
Madagascar,2008,112,21.1524,124.69166666666666,22.36666666666667,Bananas,57279
Madagascar,2008,112,21.1524,124.69166666666666,22.36666666666667,Cassava,76713
Madagascar,2008,112,21.1524,124.69166666666666,22.36666666666667,Cloves,2751
Madagascar,2008,112,21.1524,124.69166666666666,22.36666666666667,"Coffee, green",4830
Madagascar,2008,112,21.1524,124.69166666666666,22.36666666666667,Maize,16569
Madagascar,2008,112,21.1524,124.69166666666666,22.36666666666667,Potatoes,59912
Madagascar,2008,112,21.1524,124.69166666666666,22.36666666666667,Tea,7130
Malawi,2008,625,6.4244,88.79166666666667,22.375,Bananas,195050
Malawi,2008,625,6.4244,88.79166666666667,22.375,Cassava,190760
Malawi,2008,625,6.4244,88.79166666666667,22.375,"Coffee, green",8631
Malawi,2008,625,6.4244,88.79166666666667,22.375,Maize,16498
Malawi,2008,625,6.4244,88.79166666666667,22.375,Potatoes,146009
Malawi,2008,625,6.4244,88.79166666666667,22.375,Tea,24100
Mauritius,2008,827,0.3589,161.03333333333336,23.58333333333333,Bananas,208426
Mauritius,2008,827,0.3589,161.03333333333336,23.58333333333333,Cassava,136364
Mauritius,2008,827,0.3589,161.03333333333336,23.58333333333333,Maize,75410
Mauritius,2008,827,0.3589,161.03333333333336,23.58333333333333,Potatoes,229444
Mauritius,2008,827,0.3589,161.03333333333336,23.58333333333333,Tea,23761
Mozambique,2008,891,6.266,80.06666666666668,24.28333333333333,Bananas,76563
Mozambique,2008,891,6.266,80.06666666666668,24.28333333333333,Cassava,40254
Mozambique,2008,891,6.266,80.06666666666668,24.28333333333333,"Coffee, green",8690
Mozambique,2008,891,6.266,80.06666666666668,24.28333333333333,Maize,6177
Mozambique,2008,891,6.266,80.06666666666668,24.28333333333333,Potatoes,140000
Mozambique,2008,891,6.266,80.06666666666668,24.28333333333333,Tea,19842
Rwanda,2008,322,4.4094,91.02499999999998,19.375000000000004,Bananas,70378
Rwanda,2008,322,4.4094,91.02499999999998,19.375000000000004,Cassava,48700
Rwanda,2008,322,4.4094,91.02499999999998,19.375000000000004,"Coffee, green",4831
Rwanda,2008,322,4.4094,91.02499999999998,19.375000000000004,Maize,11515
Rwanda,2008,322,4.4094,91.02499999999998,19.375000000000004,Potatoes,91329
Rwanda,2008,322,4.4094,91.02499999999998,19.375000000000004,Tea,16784
Seychelles,2008,19,0.0113,133.85833333333332,27.383333333333336,Bananas,211111
Seychelles,2008,19,0.0113,133.85833333333332,27.383333333333336,Cassava,125625
Seychelles,2008,19,0.0113,133.85833333333332,27.383333333333336,Tea,4724
Uganda,2008,88,28.5637,103.31666666666668,23.583333333333332,Bananas,43291
Uganda,2008,88,28.5637,103.31666666666668,23.583333333333332,Cassava,72252
Uganda,2008,88,28.5637,103.31666666666668,23.583333333333332,"Coffee, green",6137
Uganda,2008,88,28.5637,103.31666666666668,23.583333333333332,Maize,22005
Uganda,2008,88,28.5637,103.31666666666668,23.583333333333332,Potatoes,47419
Uganda,2008,88,28.5637,103.31666666666668,23.583333333333332,Tea,20385
Zambia,2008,1670,15.6086,84.04166666666666,22.008333333333336,Bananas,33854
Zambia,2008,1670,15.6086,84.04166666666666,22.008333333333336,Cassava,57834
Zambia,2008,1670,15.6086,84.04166666666666,22.008333333333336,"Coffee, green",9161
Zambia,2008,1670,15.6086,84.04166666666666,22.008333333333336,Maize,22442
Zambia,2008,1670,15.6086,84.04166666666666,22.008333333333336,Potatoes,101051
Zambia,2008,1670,15.6086,84.04166666666666,22.008333333333336,Tea,14227
Zimbabwe,2008,3235,11.2157,47.333333333333336,21.875,Bananas,55817
Zimbabwe,2008,3235,11.2157,47.333333333333336,21.875,Cassava,44223
Zimbabwe,2008,3235,11.2157,47.333333333333336,21.875,"Coffee, green",4976
Zimbabwe,2008,3235,11.2157,47.333333333333336,21.875,Maize,2867
Zimbabwe,2008,3235,11.2157,47.333333333333336,21.875,Potatoes,104251
Zimbabwe,2008,3235,11.2157,47.333333333333336,21.875,Tea,19068
Burundi,2009,178,3.4936,101.17500000000003,20.925000000000004,Bananas,83901
Burundi,2009,178,3.4936,101.17500000000003,20.925000000000004,Cassava,41867
Burundi,2009,178,3.4936,101.17500000000003,20.925000000000004,"Coffee, green",7891
Burundi,2009,178,3.4936,101.17500000000003,20.925000000000004,Maize,10032
Burundi,2009,178,3.4936,101.17500000000003,20.925000000000004,Potatoes,27711
Burundi,2009,178,3.4936,101.17500000000003,20.925000000000004,Tea,38753
Comoros,2009,0,0.1468,133.69166666666666,24.683333333333334,Bananas,57614
Comoros,2009,0,0.1468,133.69166666666666,24.683333333333334,Cassava,55085
Comoros,2009,0,0.1468,133.69166666666666,24.683333333333334,Cloves,2742
Comoros,2009,0,0.1468,133.69166666666666,24.683333333333334,"Coffee, green",1462
Comoros,2009,0,0.1468,133.69166666666666,24.683333333333334,Maize,20971
Comoros,2009,0,0.1468,133.69166666666666,24.683333333333334,Potatoes,146154
Eritrea,2009,28,5.0514,17.849999999999998,27.541666666666668,Maize,8689
Eritrea,2009,28,5.0514,17.849999999999998,27.541666666666668,Potatoes,12000
Ethiopia,2009,3699,110.4186,63.06666666666666,23.625,Bananas,70929
Ethiopia,2009,3699,110.4186,63.06666666666666,23.625,"Coffee, green",6721
Ethiopia,2009,3699,110.4186,63.06666666666666,23.625,Maize,19849
Ethiopia,2009,3699,110.4186,63.06666666666666,23.625,Potatoes,82015
Ethiopia,2009,3699,110.4186,63.06666666666666,23.625,Tea,9986
Kenya,2009,1578,49.102,54.6,25.566666666666663,Bananas,241373
Kenya,2009,1578,49.102,54.6,25.566666666666663,Cassava,116431
Kenya,2009,1578,49.102,54.6,25.566666666666663,Cloves,8696
Kenya,2009,1578,49.102,54.6,25.566666666666663,"Coffee, green",3375
Kenya,2009,1578,49.102,54.6,25.566666666666663,Maize,12943
Kenya,2009,1578,49.102,54.6,25.566666666666663,Potatoes,191199
Kenya,2009,1578,49.102,54.6,25.566666666666663,Tea,19849
Madagascar,2009,144,21.3685,125.26666666666667,22.641666666666666,Bananas,56128
Madagascar,2009,144,21.3685,125.26666666666667,22.641666666666666,Cassava,75058
Madagascar,2009,144,21.3685,125.26666666666667,22.641666666666666,Cloves,2700
Madagascar,2009,144,21.3685,125.26666666666667,22.641666666666666,"Coffee, green",4831
Madagascar,2009,144,21.3685,125.26666666666667,22.641666666666666,Maize,16225
Madagascar,2009,144,21.3685,125.26666666666667,22.641666666666666,Potatoes,59915
Madagascar,2009,144,21.3685,125.26666666666667,22.641666666666666,Tea,6618
Malawi,2009,736,6.2964,90.56666666666668,22.458333333333332,Bananas,195122
Malawi,2009,736,6.2964,90.56666666666668,22.458333333333332,Cassava,202912
Malawi,2009,736,6.2964,90.56666666666668,22.458333333333332,"Coffee, green",18367
Malawi,2009,736,6.2964,90.56666666666668,22.458333333333332,Maize,22265
Malawi,2009,736,6.2964,90.56666666666668,22.458333333333332,Potatoes,161923
Malawi,2009,736,6.2964,90.56666666666668,22.458333333333332,Tea,24327
Mauritius,2009,842,0.3535,161.45000000000002,24.075000000000003,Bananas,221053
Mauritius,2009,842,0.3535,161.45000000000002,24.075000000000003,Cassava,146667
Mauritius,2009,842,0.3535,161.45000000000002,24.075000000000003,Maize,80000
Mauritius,2009,842,0.3535,161.45000000000002,24.075000000000003,Potatoes,231096
Mauritius,2009,842,0.3535,161.45000000000002,24.075000000000003,Tea,20771
Mozambique,2009,915,5.3802,75.45833333333333,24.349999999999998,Bananas,70000
Mozambique,2009,915,5.3802,75.45833333333333,24.349999999999998,Cassava,45215
Mozambique,2009,915,5.3802,75.45833333333333,24.349999999999998,"Coffee, green",8706
Mozambique,2009,915,5.3802,75.45833333333333,24.349999999999998,Maize,10000
Mozambique,2009,915,5.3802,75.45833333333333,24.349999999999998,Potatoes,145000
Mozambique,2009,915,5.3802,75.45833333333333,24.349999999999998,Tea,17045
Rwanda,2009,1188,4.5017,100.35833333333333,19.841666666666665,Bananas,86664
Rwanda,2009,1188,4.5017,100.35833333333333,19.841666666666665,Cassava,68308
Rwanda,2009,1188,4.5017,100.35833333333333,19.841666666666665,"Coffee, green",6720
Rwanda,2009,1188,4.5017,100.35833333333333,19.841666666666665,Maize,19503
Rwanda,2009,1188,4.5017,100.35833333333333,19.841666666666665,Potatoes,102216
Rwanda,2009,1188,4.5017,100.35833333333333,19.841666666666665,Tea,16428
Seychelles,2009,19,0.0098,162.625,27.75,Bananas,200000
Seychelles,2009,19,0.0098,162.625,27.75,Cassava,126250
Seychelles,2009,19,0.0098,162.625,27.75,Tea,4667
Uganda,2009,88,29.2625,97.95,24.125,Bananas,43000
Uganda,2009,88,29.2625,97.95,24.125,Cassava,71829
Uganda,2009,88,29.2625,97.95,24.125,"Coffee, green",6121
Uganda,2009,88,29.2625,97.95,24.125,Maize,24996
Uganda,2009,88,29.2625,97.95,24.125,Potatoes,46286
Uganda,2009,88,29.2625,97.95,24.125,Tea,19465
Zambia,2009,1670,17.13,85.93333333333334,22.258333333333336,Bananas,34500
Zambia,2009,1670,17.13,85.93333333333334,22.258333333333336,Cassava,58043
Zambia,2009,1670,17.13,85.93333333333334,22.258333333333336,"Coffee, green",9116
Zambia,2009,1670,17.13,85.93333333333334,22.258333333333336,Maize,20692
Zambia,2009,1670,17.13,85.93333333333334,22.258333333333336,Potatoes,172628
Zambia,2009,1670,17.13,85.93333333333334,22.258333333333336,Tea,14155
Zimbabwe,2009,3270,12.4248,54.041666666666664,21.941666666666674,Bananas,58180
Zimbabwe,2009,3270,12.4248,54.041666666666664,21.941666666666674,Cassava,44679
Zimbabwe,2009,3270,12.4248,54.041666666666664,21.941666666666674,"Coffee, green",3818
Zimbabwe,2009,3270,12.4248,54.041666666666664,21.941666666666674,Maize,4642
Zimbabwe,2009,3270,12.4248,54.041666666666664,21.941666666666674,Potatoes,98203
Zimbabwe,2009,3270,12.4248,54.041666666666664,21.941666666666674,Tea,17473
Burundi,2010,265,3.7263,106.39999999999999,21.041666666666668,Bananas,69858
Burundi,2010,265,3.7263,106.39999999999999,21.041666666666668,Cassava,48222
Burundi,2010,265,3.7263,106.39999999999999,21.041666666666668,"Coffee, green",8268
Burundi,2010,265,3.7263,106.39999999999999,21.041666666666668,Maize,10595
Burundi,2010,265,3.7263,106.39999999999999,21.041666666666668,Potatoes,33902
Burundi,2010,265,3.7263,106.39999999999999,21.041666666666668,Tea,46116
Comoros,2010,0,0.149,155.77499999999998,24.75833333333333,Bananas,57621
Comoros,2010,0,0.149,155.77499999999998,24.75833333333333,Cassava,55330
Comoros,2010,0,0.149,155.77499999999998,24.75833333333333,Cloves,2741
Comoros,2010,0,0.149,155.77499999999998,24.75833333333333,"Coffee, green",1469
Comoros,2010,0,0.149,155.77499999999998,24.75833333333333,Maize,20856
Comoros,2010,0,0.149,155.77499999999998,24.75833333333333,Potatoes,148400
Eritrea,2010,28,4.8966,23.933333333333337,27.683333333333334,Maize,9000
Eritrea,2010,28,4.8966,23.933333333333337,27.683333333333334,Potatoes,15385
Ethiopia,2010,4128,116.5566,70.33333333333333,23.341666666666665,Bananas,84856
Ethiopia,2010,4128,116.5566,70.33333333333333,23.341666666666665,"Coffee, green",7432
Ethiopia,2010,4128,116.5566,70.33333333333333,23.341666666666665,Maize,21926
Ethiopia,2010,4128,116.5566,70.33333333333333,23.341666666666665,Potatoes,82829
Ethiopia,2010,4128,116.5566,70.33333333333333,23.341666666666665,Tea,10116
Kenya,2010,1578,49.5945,54.208333333333336,25.424999999999997,Bananas,189684
Kenya,2010,1578,49.5945,54.208333333333336,25.424999999999997,Cassava,52521
Kenya,2010,1578,49.5945,54.208333333333336,25.424999999999997,Cloves,8621
Kenya,2010,1578,49.5945,54.208333333333336,25.424999999999997,"Coffee, green",2625
Kenya,2010,1578,49.5945,54.208333333333336,25.424999999999997,Maize,17251
Kenya,2010,1578,49.5945,54.208333333333336,25.424999999999997,Potatoes,224279
Kenya,2010,1578,49.5945,54.208333333333336,25.424999999999997,Tea,23209
Madagascar,2010,242,21.5617,114.49166666666666,22.983333333333334,Bananas,55009
Madagascar,2010,242,21.5617,114.49166666666666,22.983333333333334,Cassava,74144
Madagascar,2010,242,21.5617,114.49166666666666,22.983333333333334,Cloves,2729
Madagascar,2010,242,21.5617,114.49166666666666,22.983333333333334,"Coffee, green",4910
Madagascar,2010,242,21.5617,114.49166666666666,22.983333333333334,Maize,15577
Madagascar,2010,242,21.5617,114.49166666666666,22.983333333333334,Potatoes,58930
Madagascar,2010,242,21.5617,114.49166666666666,22.983333333333334,Tea,6409
Malawi,2010,584,7.2106,75.84166666666665,22.941666666666663,Bananas,220106
Malawi,2010,584,7.2106,75.84166666666665,22.941666666666663,Cassava,204311
Malawi,2010,584,7.2106,75.84166666666665,22.941666666666663,"Coffee, green",14735
Malawi,2010,584,7.2106,75.84166666666665,22.941666666666663,Maize,20158
Malawi,2010,584,7.2106,75.84166666666665,22.941666666666663,Potatoes,160600
Malawi,2010,584,7.2106,75.84166666666665,22.941666666666663,Tea,24684
Mauritius,2010,860,0.3262,163.29166666666669,24.116666666666664,Bananas,220221
Mauritius,2010,860,0.3262,163.29166666666669,24.116666666666664,Cassava,132059
Mauritius,2010,860,0.3262,163.29166666666669,24.116666666666664,Maize,68333
Mauritius,2010,860,0.3262,163.29166666666669,24.116666666666664,Potatoes,203649
Mauritius,2010,860,0.3262,163.29166666666669,24.116666666666664,Tea,21017
Mozambique,2010,1189,6.155,78.11666666666669,24.7,Bananas,71253
Mozambique,2010,1189,6.155,78.11666666666669,24.7,Cassava,45444
Mozambique,2010,1189,6.155,78.11666666666669,24.7,"Coffee, green",8556
Mozambique,2010,1189,6.155,78.11666666666669,24.7,Maize,12024
Mozambique,2010,1189,6.155,78.11666666666669,24.7,Potatoes,142467
Mozambique,2010,1189,6.155,78.11666666666669,24.7,Tea,16694
Rwanda,2010,954,4.7528,110.96666666666665,19.799999999999997,Bananas,82366
Rwanda,2010,954,4.7528,110.96666666666665,19.799999999999997,Cassava,88836
Rwanda,2010,954,4.7528,110.96666666666665,19.799999999999997,"Coffee, green",5686
